流水號	年	月	日	發表形式	組別	組別-英	時間(分)	編號	競賽	報告者	作者	題目	組別分類(下拉選單)	題目-英	單位	研究室	物種	得獎與否	備註
1	1994	2	26	口頭報告			20	1		蘇銘言	蘇銘言	過冬紅尾伯勞領域大小變異之研究：棲枝之影響	族群生態學		師大生物研究所		紅尾伯勞		
2	1994	2	26	口頭報告			20	2		蘇銘言	蘇銘言	綠繡眼吸食珊瑚刺桐花蜜之行為生態初探	行為生態學		師大生物研究所		綠繡眼		
3	1994	2	26	口頭報告			20	3		姚正得	姚正得	粉紅鸚嘴的生殖習性與集體繁殖之新紀錄	行為生態學		台灣省特有生物研究保育中心		粉紅鸚嘴		
4	1994	2	26	口頭報告			20	4		高保齡	高保齡	台灣北部地區靜止水域蛙類資源分配利用之研究	群聚生態學		台灣師範大學生物研究所		蛙類		
5	1994	2	26	口頭報告			20	5		陳惠琦	陳惠琦	梭德氏蛙粒線體DNA變異性之研究	生物親緣地理與分類學		台灣大學動物研究所		梭德氏赤蛙		
6	1994	2	26	口頭報告			20	6		林華慶	林華慶	談蛇類之保育-以南投縣及台中烏石坑的蛇類資源為例	野生動植物保育與經營管理		台灣省特有生物研究保育中心動物組		蛇類		
7	1994	2	26	口頭報告			20	7		陳章波	陳章波	談動物飼育在科學教育及動物權的問題	生物與環境教育		中研院動物所、台大漁科所				
8	1994	2	26	口頭報告			20	8		郭國偉	郭國偉	台灣梅花鹿野外行為之探討	行為生態學		台灣師範大學生物研究所		梅花鹿		
9	1994	2	26	口頭報告			20	9		胡正恒	胡正恒	墾丁梅花鹿覓食之初探	行為生態學		台灣師範大學生物研究所		梅花鹿		
10	1994	2	26	口頭報告			20	10		林良恭	林良恭、胡安邦、呂孟栖	台灣高山田鼠實驗室內繁殖及其成長發育	行為生態學		屏東技術學院森林資源技術系		高山田鼠		
11	1994	2	26	口頭報告			20	11		李亞夫	李亞夫	印定安那州中北部三種鼠耳蝠的覓食生態資源分配	群聚生態學		台灣大學動物系		三種鼠耳蝠		
12	1994	2	26	口頭報告			20	12		葉淑德	葉淑德、莫顯蕎	七夕魚敵對行為的控制因素之探討	行為生態學		國立中山大學海洋生物研究所		七夕魚		
13	1994	2	26	口頭報告			20	13		莊世昌	莊世昌	環境因子對蟹類行為之影響	行為生態學		師大附中生命科學研習社		六種蟹類		
14	1994	2	26	口頭報告			20	14		巫紅霏	巫紅霏、周蓮香	正榕(Ficus microcarpa) 榕果小蜂(Blastophaga verticellata) 之授粉與產卵行為研究	動植物交互關係		台大動物系		正榕(Ficus microcarpa)、榕果小蜂(Blastophaga verticellata) 		
15	1994	2	26	口頭報告			20	15		郭美華	郭美華	煙蚜繭蜂 Aphidius gifuensis Ashmead 之求偶婚配與產卵行為	行為生態學		中興大學昆蟲系		煙蚜繭蜂 Aphidius gifuensis		
16	1994	2	26	口頭報告			20	16		郭美華	郭美華	煙蚜繭蜂 Aphidius gifuensis Ashmead 及芽金小蜂 Pachyneuron aphidis (Bouche ) 之基本生態	族群生態學		中興大學昆蟲系		煙蚜繭蜂 Aphidius gifuensis、芽金小蜂 Pachyneuron aphidis 		
17	1994	2	26	口頭報告			20	17		王定中	王定中	福山地區 DIGGER WASP 獵食行為初探	行為生態學		台灣師範大學生物學系		未命名蜂類		
18	1994	2	26	口頭報告			20	18		楊燿隆	楊燿隆	南投縣地區蝶相多樣性初步調查	野生動植物保育與經營管理		台灣省特有生物研究保育中心		蝶類		
19	1994	2	26	口頭報告			20	20		吳秀枝	吳秀枝	柳葉銹蟎的生態及行為調查	族群生態學		台北江翠國中		柳葉銹蟎		
20	1994	2	26	口頭報告			20	19-1		胡為婷	胡為婷、洪淑彬	四紋豆象產卵決策法則	行為生態學		台灣大學植物病蟲害學系		四紋豆象		
21	1994	2	26	口頭報告			20	19-2		黎歷偉	黎歷偉、蕭玉璇、洪淑彬	四紋豆象對不同寄主之產卵偏好	行為生態學		台灣大學植物病蟲害學系		四紋豆象		
22	1995	2	12	口頭報告			15			林華慶	林華慶	台灣幾種蛇類的食性紀錄	行為生態學		特有生物中心		蛇類		
23	1995	2	12	口頭報告			15			毛俊傑	毛俊傑	實驗室中眼鏡蛇攝食行為、捕食與被捕食者體型大小關係	行為生態學		國立屏東技術學院森林資源技術系		眼鏡蛇		
24	1995	2	12	口頭報告			15			周文豪	周文豪	台灣梭德氏蛙的地理變異	生物親緣地理與分類學		東海大學生物研究所		梭德氏赤蛙		
25	1995	2	12	口頭報告			15			朱哲民	朱哲民、呂光洋	台灣北部溪流蛙類群聚之研究	群聚生態學		師範大學生物系		蛙類		
26	1995	2	12	口頭報告			15			陳志遠	呂光洋、高保齡、陳志遠	翡翠樹蛙長期族群變動之研究	族群生態學		國立台灣師範大學生物學系		翡翠樹蛙		
27	1995	2	12	口頭報告			15			盧堅富	盧堅富	金線蛙之生態行為研究	行為生態學		特有生物保育中心		金線蛙		
28	1995	2	12	口頭報告			15			賴俊祥	賴俊祥、呂光洋	台灣山椒魚族群變動之研究	族群生態學		台灣師範大學生物系				
29	1995	2	12	口頭報告			15			莫顯蕎	莫顯蕎	瓦氏尖鼻魨之行為生態初探	行為生態學		國立中山大學海洋生物研究所		瓦氏尖鼻魨		
30	1995	2	12	口頭報告			15			曾晴賢	曾晴賢、蕭仁傑	秀姑巒溪洄游性魚苗溯河行為的研究	行為生態學		國立清華大學生命科學系				
31	1995	2	12	口頭報告			15			陳恩理	陳恩理	關渡沼澤紅樹林沼澤潮間帶的底棲動物生態	群聚生態學		台灣大學動物學研究所				
32	1995	2	12	口頭報告			15			巫紅霏	巫紅霏、周蓮香	牛奶榕及牛奶榕小蜂的共生關係	動植物交互關係		台灣大學動物學研究所		牛奶榕、牛奶榕小蜂		
33	1995	2	12	口頭報告			15			唐立正	唐立正、杜武俊	家蠅選溫行為之探討	行為生態學		國立中興大學昆蟲學系		家蠅		
34	1995	2	12	口頭報告			15			蔡金助	蔡金助	墾丁社頂地區梅花鹿夜間行為初探	行為生態學		師範大學生物研究所		梅花鹿		
35	1995	2	12	口頭報告			15			可文亞	可文亞	屏東地區東亞家蝠生殖週期之研究	族群生態學		東海大學生物研究所		東亞家蝠		
36	1995	2	12	口頭報告			15			陳宣汶	陳宣汶	台灣高山地區小型哺乳類動物空間分佈之研究初步	群聚生態學		台灣大學動物學研究所				
37	1995	2	12	口頭報告			15			姚正得	姚正得	台灣松雀鷹的繁殖習性初探	行為生態學		台灣省特有生物研究保育中心動物組		松雀鷹		
38	1995	2	12	口頭報告			15			林秀珍	林秀珍	涼山地區七種樹種被鳥類利用情況之探討	群聚生態學		屏東技術學院森林資源技術系				
39	1995	2	12	口頭報告			15			高金城	高金城	涼山地區常見主要鳥類對棲地利用之研究	群聚生態學		國立屏東技術學院森林資源技術系				
40	1995	2	12	口頭報告			15			許皓捷	許皓捷	櫟林帶上層成熟林之鳥類群聚生態	群聚生態學		台灣大學動物學研究所				
41	1995	2	12	口頭報告			15			蔡嘉揚	1.蔡嘉揚、林笈克、劉照國、2.蔣忠祐	幾種鷸鴴科、反嘴鴴科水鳥的覓食行為及覓食棲地選擇	行為生態學		1.東海大學環境科學研究所、2.東海大學環境科學系				
42	1995	2	12	口頭報告			15			孫元勳	1.孫元勳、2.王穎	砂卡礑溪黃魚鴞的春季覓食生態	行為生態學		1.德州農工大學野生動物及漁業學系研究生、2.國立台灣師範大學生物系		黃魚鴞		
43	1998	2	6-7	海報						謝寶森	謝寶森	台灣獼猴聲音傳訊的初步研究	行為生態學		高雄醫學院生物學系		臺灣獼猴		
44	1998	2	6-7	海報						余欣怡	余欣怡、謝寶森	高雄市柴山台灣猴公猴的生殖策略	行為生態學		高雄醫學院生物學系		臺灣獼猴		
45	1998	2	6-7	海報						黃婉琦	黃婉琦、陳炳煌	大肚溪囗潮水對濱鷸和東方環頸鴴覓食活動之影響	行為生態學		東海大學環境科學研究所		濱鷸、東方環頸鴴		
46	1998	2	6-7	海報						佟志剛	佟志剛、陳炳煌	大肚溪囗水鳥保護區人為干擾影響初探	野生動植物保育與經營管理		東海大學環境科學研究所				
