name	size
程一駿	114
邱郁文	108
林幸助	92
林雨德	77
林思民	60
邵廣昭	60
林惠真	60
卓逸民	53
梁世雄	52
黃大駿	50
陳昭倫	49
關永才	49
顏聖紘	49
尤少彬	45
張學文	44
杜銘章	41
林仲平	39
李壽先	39
呂光洋	38
張明雄	37
袁孝維	37
林良恭	37
周蓮香	37
李玲玲	37
毛俊傑	36
吳聲海	36
侯平君	34
王瑋龍	33
孫元勳	32
林宗岐	30
謝寶森	29
吳海音	29
林曜松	29
施習德	29
李培芬	29
李亞夫	29
裴家騏	28
方引平	28
Chaolun Allen Chen	27
陳俊宏	26
彭仁君	26
Chung-Ping Lin	26
張育誠	26
鄭錫奇	25
陳炳煌	25
陳亮憲	25
楊曼妙	25
楊懿如	25
楊恩誠	24
陳章波	24
蔡添順	24
林瑞興	24
許皓捷	24
許富雄	24
楊正澤	23
趙偉村	22
謝欣怡	22
宋國彰	21
黃美秀	21
姚正得	21
蘇俊育	21
紀凱容	21
莊孟憲	21
顏易君	21
王一匡	21
許鈺鸚	20
謝蕙蓮	20
溫育德	20
丁宗蘇	20
郭曉薇	19
劉小如	19
楊平世	18
曾晴賢	18
姜鈴	18
徐芝敏	18
徐堉峰	17
蔡政達	17
葉芳伶	17
何健鎔	17
陳怡惠	17
王穎	17
宋克義	16
石芝菁	16
詹芳澤	16
林華慶	16
張原謀	15
林宜靜	15
戴昌鳳	15
方力行	15
林德恩	15
周政翰	14
李佩珍	14
蘇秀慧	14
柯智仁	14
黃將修	14
沈聖峰	14
樊同雲	14
莊銘豐	14
李承錄	14
陳清旗	13
嚴宏洋	13
楊樹森	13
焦傳金	13
黃銘志	13
趙國容	13
許育誠	13
翁義聰	12
林斯正	12
曾惠芸	12
吳宗澤	12
黃于玻	12
劉威廷	11
謝宗志	11
余欣怡	11
張簡琳玟	11
翁國精	11
劉烘昌	11
洪孝宇	10
巫文隆	10
韋家軒	10
黃志堅	10
莫顯蕎	10
郭硯敏	10
柏豪	10
鍾國仁	10
陳添喜	9
謝森和	9
伏鳳岐	9
方懷聖	9
Shen-Horn Yen	9
李宗翰	9
黃國靖	9
官淑蕙	9
莊怡麗	9
朱有田	9
黃彥銘	9
劉弼仁	9
張心怡	9
林雅玲	9
洪韻軒	9
張至維	9
林怡如	9
林劭陽	9
陳建志	9
劉建男	9
林春富	8
劉莉蓮	8
楊智安	8
林文隆	8
林素華	8
范孟雯	8
邱玉娟	8
周文豪	8
鄭任鈞	8
龔文斌	8
Jo-Fan Wang	8
蔡宜君	8
鄭先祐	8
黃俊諺	8
林彥博	8
吳欣儒	8
許正欣	8
張伊鈞	8
張仕緯	8
陳湘繁	8
林子皓	8
賴弘智	8
蘇維翎	8
林孟賢	8
林展蔚	8
謝志豪	8
陳一菁	8
賴昆祺	8
黃淑萍	8
仲澤剛史	8
郭美華	8
王玉璽	7
游淑媚	7
黃守忠	7
